run project     sweep                                            variant                        prompt     n  ok  FP  FN fail      usd | baseline ok/FP/FN | med_s p95_s out_tok
 69 agent-evals relevance-local-agent-evals-topical              gemma-4-26b-a4b                override  73  69   4   0    0   0.0082 | 67/6/0 | 1.5 2.6 92
 70 agent-ops   relevance-local-agent-ops-topical                glm-4-5-air                    override  51  35  16   0    0   0.0237 | 42/7/2 | 7.5 10.1 493
 71 agent-evals relevance-local-agent-evals-topical              gemma-4-31b                    override  73  69   4   0    0   0.0186 | 67/6/0 | 2.0 5.4 87
 72 agent-evals relevance-local-agent-evals-topical              mistral-small-2603             override  73  67   6   0    0   0.0072 | 67/6/0 | 1.1 1.5 79
 73 agent-evals relevance-local-agent-evals-topical              nemotron-3-nano-30b            override  73  65   7   1    0   0.0208 | 67/6/0 | 5.5 12.5 1073
 74 agent-ops   relevance-local-agent-ops-topical                glm-4-7-flash                  override  51  40   7   4    0   0.0158 | 42/7/2 | 19.2 58.4 601
 75 agent-evals relevance-local-agent-evals-topical              llama-3-3-70b                  override  73  65   8   0    0   0.0112 | 67/6/0 | 2.5 7.6 62
 76 agent-evals relevance-local-agent-evals-topical              glm-4-5-air                    override  73  67   6   0    0   0.0335 | 67/6/0 | 7.2 10.7 483
 77 agent-evals relevance-local-agent-evals-topical              glm-4-7-flash                  override  73  66   6   1    0   0.0200 | 67/6/0 | 11.2 27.9 513
 78 agent-ops   relevance-local-agent-ops-topical                qwen3-next-80b-a3b             override  51  42   6   3    0   0.0129 | 42/7/2 | 1.0 2.2 129
 79 agent-ops   relevance-local-agent-ops-topical                nemotron-3-super-120b          override  51  26   6   2   17   0.0095 | 42/7/2 | 14.4 34.3 868
 80 agent-ops   relevance-local-agent-ops-topical                llama-4-scout                  override  51  34  15   2    0   0.0193 | 42/7/2 | 1.9 5.1 86
 81 agent-ops   relevance-local-agent-ops-topical                qwen3-32b                      override  51  33  16   2    0   0.0124 | 42/7/2 | 14.0 23.3 536
 82 agent-evals relevance-local-agent-evals-topical              qwen3-next-80b-a3b             override  73  66   7   0    0   0.0168 | 67/6/0 | 0.9 1.7 111
 83 agent-evals relevance-local-agent-evals-topical              nemotron-3-super-120b          override  73  39   5   1   28   0.0087 | 67/6/0 | 9.8 17.5 522
 84 agent-evals relevance-local-agent-evals-topical              llama-4-scout                  override  73  49  11   0   13   0.0242 | 67/6/0 | 1.4 5.0 124
 85 agent-ops   relevance-local-agent-ops-topical                gpt-oss-120b                   override  51  40   8   3    0   0.0057 | 42/7/2 | 8.0 23.2 308
 86 agent-evals relevance-local-agent-evals-topical              qwen3-32b                      override  73  67   6   0    0   0.0169 | 67/6/0 | 11.6 17.8 481
 87 agent-evals relevance-local-agent-evals-topical              gpt-oss-120b                   override  73  66   6   1    0   0.0123 | 67/6/0 | 4.6 18.8 226
 88 agent-ops   relevance-rerun-agent-ops-current                nemotron-3-super-120b          reused    51  25   1   8   17   0.0081 | 42/7/2 | 11.3 19.7 558
 89 agent-ops   relevance-rerun-agent-ops-current                llama-4-scout                  reused    51  33   2  10    6   0.0217 | 42/7/2 | 2.7 4.7 127
 90 agent-evals relevance-rerun-agent-evals-current              nemotron-3-super-120b          reused    73  22   4   6   41   0.0062 | 67/6/0 | 11.0 27.0 568
 91 agent-evals relevance-rerun-agent-evals-current              llama-4-scout                  reused    73  50   3   2   18   0.0205 | 67/6/0 | 1.7 5.0 121
 92 agent-ops   relevance-rerun-agent-ops-topical                nemotron-3-super-120b          override  51  30   6   2   13   0.0133 | 42/7/2 | 14.3 30.3 842
 93 agent-ops   relevance-rerun-agent-ops-topical                llama-4-scout                  override  51  33  13   2    3   0.0153 | 42/7/2 | 1.3 2.8 71
 94 agent-evals relevance-rerun-agent-evals-topical              nemotron-3-super-120b          override  73  47   5   0   21   0.0138 | 67/6/0 | 9.7 18.7 535
 95 agent-evals relevance-rerun-agent-evals-topical              llama-4-scout                  override  73  55  12   0    6   0.0274 | 67/6/0 | 2.1 6.5 128
 96 agent-ops   relevance-frink-agent-ops-topical                qwen3-30b-a3b-q4-frink         override  51  40   9   2    0   0.0000 | 42/7/2 | 2.4 3.1 125
 97 agent-ops   relevance-frink-agent-ops-topical                llama-3-3-70b-q8-frink         override  51   8   1   0   42   0.0000 | 42/7/2 | 28.0 35.8 68
 98 agent-ops   relevance-frink-agent-ops-topical                qwen3-30b-a3b-q4-frink         override  51  41   7   3    0   0.0000 | 42/7/2 | 2.1 79.2 126
 99 agent-ops   relevance-frink-agent-ops-topical                gemma-4-26b-a4b-q4-frink       override  51  44   5   2    0   0.0000 | 42/7/2 | 16.5 42.3 1321
100 agent-ops   relevance-frink-agent-ops-topical                gemma-4-31b-q4-frink           override  51  40  10   1    0   0.0000 | 42/7/2 | 19.2 24.9 141
101 agent-ops   relevance-frink-agent-ops-topical                llama-3-3-70b-q8-frink         override   1   0   0   0    1   0.0000 | 2/0/0 | 0.0 0.0 0
102 agent-ops   relevance-frink-agent-ops-topical                qwen3-30b-a3b-q4-frink         override  51  41   6   4    0   0.0000 | 42/7/2 | 2.1 2.5 122
104 agent-ops   relevance-frink-agent-ops-topical                gemma-4-26b-a4b-q4-nothink-frink override  51  45   3   3    0   0.0000 | 42/7/2 | 2.6 3.4 109
105 agent-ops   relevance-frink-agent-ops-topical                gemma-4-31b-q4-nothink-frink   override  51  40   9   2    0   0.0000 | 42/7/2 | 19.6 28.2 142
106 agent-ops   relevance-frink-agent-ops-topical                qwen3-30b-a3b-q4-frink         override  51  42   6   3    0   0.0000 | 42/7/2 | 2.2 2.7 123
107 agent-evals relevance-frink-agent-evals-topical              gemma-4-26b-a4b-q4-nothink-frink override  73  68   5   0    0   0.0000 | 67/6/0 | 2.3 3.2 92
108 agent-evals relevance-frink-agent-evals-topical              gemma-4-31b-q4-nothink-frink   override  73  59   4   0   10   0.0000 | 67/6/0 | 18.7 46.6 142
109 agent-evals relevance-frink-agent-evals-topical              qwen3-30b-a3b-q4-frink         override  73  66   5   2    0   0.0000 | 67/6/0 | 2.0 2.8 122
110 agent-ops   relevance-frink-agent-ops-current                gemma-4-26b-a4b-q4-nothink-frink reused    51  31   1  19    0   0.0000 | 42/7/2 | 2.3 3.0 100
111 agent-ops   relevance-frink-agent-ops-current                gemma-4-31b-q4-nothink-frink   reused    51  29   1  21    0   0.0000 | 42/7/2 | 15.5 18.9 105
112 agent-ops   relevance-frink-agent-ops-current                qwen3-30b-a3b-q4-frink         reused    51  30   2  19    0   0.0000 | 42/7/2 | 2.3 2.8 131
113 agent-evals relevance-frink-agent-evals-current              gemma-4-26b-a4b-q4-nothink-frink reused    73  62   2   9    0   0.0000 | 67/6/0 | 2.3 3.2 100
114 agent-evals relevance-frink-agent-evals-current              gemma-4-31b-q4-nothink-frink   reused    73  61   1  11    0   0.0000 | 67/6/0 | 13.5 18.2 102
115 agent-evals relevance-frink-agent-evals-current              qwen3-30b-a3b-q4-frink         reused    73  63   1   9    0   0.0000 | 67/6/0 | 2.2 2.8 127
